id,name,updated_at,created_at,gender,type,national_team_id,main_team,senior_team,level
4e3e1a2a-fb58-41e7-b336-f3329194472a,Bay Of Plenty,29/04/2019 19:20,20/02/2019 14:18,M,club,cae79170-e3ef-4329-9903-c10186a49cec,,,1
f172aa66-1f79-41c8-96aa-26f0cb6ceacd,Bay of Plenty Volcanix,24/07/2019 17:28,20/02/2019 14:18,F,club_women,cae79170-e3ef-4329-9903-c10186a49cec,Bay Of Plenty,4e3e1a2a-fb58-41e7-b336-f3329194472a,1
b24a3f62-7b3a-4a1a-8796-a4ac2169448e,Bayonne,29/04/2019 18:39,20/02/2019 14:18,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
dc3e460e-89dd-4cbd-b7fc-79e8db08a083,BC All-Stars,27/08/2019 14:42,27/08/2019 14:42,M,select,,,,1
be0ac377-854c-4cd1-ad22-d97e362852cc,BC Bears,13/04/2020 17:45,13/04/2020 17:45,M,club,5776fd4c-0e23-4c79-82e7-c7f4cb9ec9ea,,,1
c23d6051-8f94-4c69-b103-ad7160eb84a8,Beddau,06/08/2020 14:33,06/08/2020 14:33,M,club,33c5dddd-470e-4bbf-888a-41de5eba7f59,,,1
807a7986-049b-4b5d-bc7f-d2aed199ea62,Bedford Blues,24/07/2019 17:26,20/02/2019 14:18,M,club,f9413c17-aeb0-4739-b9ba-b9bf52991c68,,,1
78dc6036-8cd8-44a0-859c-1920fa67b315,Bedlinog RFC,06/08/2020 14:33,06/08/2020 14:33,M,club,33c5dddd-470e-4bbf-888a-41de5eba7f59,,,1
1a57da90-0773-42c0-ba3c-bd8e88d3e345,Bedwas,13/04/2020 17:45,13/04/2020 17:45,M,club,33c5dddd-470e-4bbf-888a-41de5eba7f59,,,1
061367c6-ce48-4372-9dbc-cef25f01ca81,Belarus,24/04/2020 17:30,24/04/2020 17:30,M,international,,,,1
f9e7f2fb-417c-4137-9964-8d0ab315e197,Belenenses,13/04/2020 17:45,13/04/2020 17:45,M,club,1a492fae-2e3a-4203-90c4-0f6eac201ff3,,,1
f53b3522-490b-4e59-aa02-25a017855db9,Belfast Harlequins,06/08/2020 14:33,06/08/2020 14:33,M,club,ee8f8374-1c04-4276-ab75-4bafc7441912,,,1
3fe21187-7c48-4ccf-bf9d-34cd7e21ea7d,Belgium,29/04/2019 19:12,20/02/2019 14:18,M,international,,,,1
34c6edef-f124-43d9-b0cd-78ae7e54ec52,Belgium Barbarians,13/04/2020 17:45,13/04/2020 17:45,M,select,3fe21187-7c48-4ccf-bf9d-34cd7e21ea7d,Belgium,3fe21187-7c48-4ccf-bf9d-34cd7e21ea7d,2
5b9c6f7c-1344-4270-b1c3-963f1adef160,Belgium U20s,06/08/2020 14:33,06/08/2020 14:33,M,international_age_grade,3fe21187-7c48-4ccf-bf9d-34cd7e21ea7d,Belgium,3fe21187-7c48-4ccf-bf9d-34cd7e21ea7d,3
4c3819ab-78d5-4b8b-9dbb-4d2e930421ea,Belgium Women,05/05/2020 17:53,05/05/2020 17:53,F,international_women,3fe21187-7c48-4ccf-bf9d-34cd7e21ea7d,Belgium,3fe21187-7c48-4ccf-bf9d-34cd7e21ea7d,1
d9363481-bc02-4d5b-bb27-04d53f8b84bd,Belgrano Athletic,20/02/2019 14:18,20/02/2019 14:18,M,club,294eaf52-dfdd-4918-ad0a-3274f5dbd2cf,,,1
80d90dcb-58fe-46a3-8343-befe107450f6,Belmont Shore,06/08/2020 14:33,06/08/2020 14:33,M,club,74412498-e87e-42d0-9270-7d5fec902b46,,,1
e1482440-fac2-4156-9f79-6e32c177457c,Benetton,29/04/2019 18:50,20/02/2019 14:18,M,club,1f4f7424-1bc0-4aed-adc2-6ccfab40fbae,,,1
6be7521f-ce4a-4457-984a-db7ed27d6e68,Benfica,13/04/2020 17:45,13/04/2020 17:45,M,club,1a492fae-2e3a-4203-90c4-0f6eac201ff3,,,1
868a967a-3ac8-41f1-9ec0-4af59209a3a9,Benin,24/04/2020 17:30,24/04/2020 17:30,M,international,,,,1
f1f5ee7a-a4b5-4711-badb-f6d063dcd945,Bera Bera,05/05/2020 16:26,05/05/2020 16:26,M,club,a3a64375-a2ae-4342-bbd2-35665c2f31aa,,,1
cee5eb09-1000-4b4c-b2c8-990325714d32,Berlin Grizzlies,13/04/2020 17:45,13/04/2020 17:45,M,club,46f2867c-4b46-417a-a118-8c195f90ce02,,,1
7ec885a1-e87a-4d15-99cb-3ccddf40f25d,Berliner,13/04/2020 17:45,13/04/2020 17:45,M,club,46f2867c-4b46-417a-a118-8c195f90ce02,,,1
8ba5c2aa-6b0f-481c-989d-8fc3ad0370f3,Bermuda,24/04/2020 17:30,24/04/2020 17:30,M,international,,,,1
cdae0e6a-b1a2-452b-b2af-70ea7a4ac401,Beziers,29/04/2019 18:39,20/02/2019 14:18,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
9012565d-f82c-475d-97be-72e04632cbd0,Biarritz,29/04/2019 18:39,20/02/2019 14:18,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
d27ab2ef-f641-4109-b2ed-47aaeca7ed9a,Birmingham Solihull,05/05/2020 16:26,05/05/2020 16:26,M,club,f9413c17-aeb0-4739-b9ba-b9bf52991c68,,,1
622b219f-bf66-45e7-81ec-80663700ade3,Bishop's Stortford,05/05/2020 16:26,05/05/2020 16:26,M,club,f9413c17-aeb0-4739-b9ba-b9bf52991c68,,,1
93cfad3e-60a2-4daa-8e29-6b03a7f7db35,Bizkaia Gernika,13/04/2020 17:45,13/04/2020 17:45,M,club,a3a64375-a2ae-4342-bbd2-35665c2f31aa,,,1
a759efa4-e8cb-4cfb-ac6c-f3ac87d355ae,Black Ferns Development XV,24/04/2020 17:30,24/04/2020 17:30,F,international_women_development,cae79170-e3ef-4329-9903-c10186a49cec,New Zealand,cae79170-e3ef-4329-9903-c10186a49cec,2
f8a13214-d229-44c3-81b6-4a7105fdfc8e,Black Lion,23/11/2021 13:58,23/11/2021 13:58,M,club,e72cf7c2-876b-41c4-bdd1-d1e4a0ebbd31,,,1
620ccfed-d53a-4f5b-bdac-ebd75fbcb3d6,Blackheath,05/05/2020 16:26,05/05/2020 16:26,M,club,f9413c17-aeb0-4739-b9ba-b9bf52991c68,,,1
4adc7a78-8b56-485a-a780-6ef4602686d7,Blackrock College,06/08/2020 14:33,06/08/2020 14:33,M,club,ee8f8374-1c04-4276-ab75-4bafc7441912,,,1
41183f3d-95ce-457f-bbb0-0792b0b25df0,Blackwood,06/08/2020 14:33,06/08/2020 14:33,M,club,33c5dddd-470e-4bbf-888a-41de5eba7f59,,,1
