event_id,prediction_probability,prediction_probability
873bfc7a-af1b-11ea-8385-4865ee11b869,0.18817982,0.18817982
890d1938-af1b-11ea-9dd8-4865ee11b869,0.5304324,0.5304324
8f9ea546-af1b-11ea-8810-4865ee11b869,0.49163848,0.49163848
913582b0-af1b-11ea-8dae-4865ee11b869,0.7255985,0.7255985
9623c3c6-af1b-11ea-b5f2-4865ee11b869,0.8663087,0.8663087
97d11338-af1b-11ea-aa36-4865ee11b869,0.36921495,0.36921495
9d440f1c-af1b-11ea-9eea-4865ee11b869,0.8673438,0.8673438
9dabc40c-af1b-11ea-9986-4865ee11b869,0.48807403,0.48807403
a35cec58-af1b-11ea-b75c-4865ee11b869,0.50456625,0.50456625
a72e4d28-af1b-11ea-a58e-4865ee11b869,0.36848032,0.36848032
a97885c8-af1b-11ea-95e8-4865ee11b869,0.6771356,0.6771356
abc14a14-af1b-11ea-9931-4865ee11b869,0.6802397,0.6802397
ad69b500-af1b-11ea-8a1e-4865ee11b869,0.49912196,0.49912196
b34bdc5c-af1b-11ea-97ce-4865ee11b869,0.7550146,0.7550146
b458774a-af1b-11ea-ba07-4865ee11b869,0.38116047,0.38116047
b4bc0e4c-af1b-11ea-b3fd-4865ee11b869,0.77944916,0.77944916
b67b38ee-af1b-11ea-b2a5-4865ee11b869,0.65557736,0.65557736
b7a62bee-af1b-11ea-a1ef-4865ee11b869,0.8546881,0.8546881
b9de0dcc-af1b-11ea-911c-4865ee11b869,0.72023857,0.72023857
6a60b898-af1b-11ea-97cc-4865ee11b869,0.86690724,0.86690724
6b6968fe-af1b-11ea-a5e6-4865ee11b869,0.5355899,0.5355899
6c46e7e6-af1b-11ea-a5a7-4865ee11b869,0.6068642,0.6068642
6de84b86-af1b-11ea-97a0-4865ee11b869,0.6711361,0.6711361
6e4e2fde-af1b-11ea-8308-4865ee11b869,0.90599763,0.90599763
6eddd870-af1b-11ea-a6fb-4865ee11b869,0.9054739,0.9054739
6eee95ec-af1b-11ea-b2fc-4865ee11b869,0.80502105,0.80502105
72c2c82e-af1b-11ea-b428-4865ee11b869,0.95150495,0.95150495
7472edc8-af1b-11ea-a6f9-4865ee11b869,0.6433076,0.6433076
7ba4eb02-af1b-11ea-85c5-4865ee11b869,0.6585361,0.6585361
