id,name,updated_at,created_at,level,type,hemisphere,home_competition_group,competition_group,cross_border_comp,transfer_multiplier,key_competition_name
0524a4e0-efeb-4780-93b9-be98b2f3fbe2,Currie Cup,20/02/2019 14:14,20/02/2019 14:14,3,Mens,southern,Currie Cup,South Africa,FALSE,1,Currie Cup
396d8107-2dac-436e-a9f8-5883991655c0,European Rugby Challenge Cup,20/02/2019 14:14,20/02/2019 14:14,3,Mens,northern,na,Europe,TRUE,1,European Rugby Challenge Cup
4f0ae53d-8cd4-4d93-9fbe-0ce2df4bb56b,Gallagher Premiership,20/02/2019 14:14,20/02/2019 14:14,2,Mens,northern,Gallagher Premiership,England,FALSE,1,Gallagher Premiership
f330a8ae-38bf-4ec2-9735-6269f6b14e77,Georgia Didi 10,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,Georgia Didi 10,Georgia,FALSE,1,Other Club League
92c3cd86-8fb6-4b0b-8044-da30f89b4c8d,Heineken Champions Cup,20/02/2019 14:14,20/02/2019 14:14,2,Mens,northern,na,Europe,TRUE,1,Heineken Champions Cup
c5ec9df5-f62f-48b9-8298-35f95fe64538,Africa Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Africa,FALSE,1,International
4c904cf7-06cc-470d-bdfb-3eb5ffc24a98,Americas Pacific Challenge,13/04/2020 17:50,13/04/2020 17:50,1,Mens,southern,international_mens,World,FALSE,1,International
95ce8319-4a80-43ac-9bd0-61c887c9f4e6,Americas Rugby Challenge,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Americas,FALSE,1,International
915632b8-a75f-49f5-a573-f4639b5d1e61,Americas Rugby Championship,20/02/2019 14:14,20/02/2019 14:14,1,Mens,na,international_mens,Americas,FALSE,1,International
2e03d021-a1fe-4551-bb31-1ea0cbcbb4af,Asia Games,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,Asia,FALSE,1,International
