learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,metric,epochs,activation_layers,pca_threshold,pca,n_splits,class_weights_enabled,avg_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.001}]",,False,5,False,[1.24277115e+01 1.55069816e+08],12.789132012465648,9.824068737030029,0.7214207940077848
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.0001}]",,False,5,False,[1.23936211e+01 1.56883741e+08],12.781145580167342,9.831911277770995,0.7215355214870541
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",,False,5,False,[1.26549400e+01 1.55854634e+08],12.827134371988567,9.792420315742493,0.719361788498116
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.01}]",,False,5,False,[1.25165258e+01 1.58030800e+08],12.821866552803655,9.869747924804688,0.7203914058331125
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,5,False,[1.24092180e+01 1.58659474e+08],12.807825044040888,9.892198824882508,0.7192468809643067
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",,False,5,False,[1.23479155e+01 1.54776787e+08],12.799874389688208,9.795375776290893,0.7209061817634215
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.1}]",,False,5,False,[1.39545284e+01 1.74617574e+08],13.248402393354937,10.204687988758087,0.7084332144973369
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.01}]",,False,5,False,[1.31767466e+01 1.80761190e+08],13.164822349483256,10.160549855232238,0.7150704340623906
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.001}]",,False,5,False,[1.28607899e+01 1.65999533e+08],13.032092051304469,10.027001237869262,0.7163861580616965
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",,False,5,False,[1.29640863e+01 1.83144342e+08],13.132748759067349,10.175071948766709,0.7151845559036609
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.01, 'l1_reg': 0.1}]",,False,5,False,[1.38189432e+01 1.86261779e+08],13.096321372961928,10.165076065063477,0.7139830683257874
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.01}",<keras.src.losses.Huber object at 0x000001C903DBCD60>,"MeanAbsolutePercentageError(name=mean_absolute_percentage_error,dtype=float32)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.01, 'l1_reg': 0.01}]",,False,5,False,[1.29286625e+01 1.73975229e+08],13.008085767740692,10.00828971862793,0.7162715287939946
