learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,metric,epochs,activation_layers,pca_threshold,pca,n_splits,class_weights_enabled,avg_score,avg_accuracy,avg_precision,avg_recall,avg_f1_score,avg_TP_accuracy,avg_TN_accuracy,avg_TP_TN_accuracy,confusion_matrix
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.1, 'l1_reg': 0.001}]",,False,5,False,[1.89013508e-01 6.76640000e+03],0.9558951630572515,0.9561301085564444,0.999734160118351,0.9774448458053898,0.9561301085564444,0.2966666666666667,0.6263983876115555,"[[6766    3]
 [ 307    2]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.1, 'l1_reg': 0.0001}]",,False,5,False,[1.82288042e-01 6.76640000e+03],0.9558951670488561,0.9559493487627553,0.9999410724808484,0.9774494160177077,0.9559493487627553,0.0,0.47797467438137764,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.01, 'l1_reg': 0.1}]",,False,5,False,[2.16215569e-01 6.76600000e+03],0.9558386618927607,0.9559983454521193,0.9998226072463414,0.9774184368035227,0.9559983454521193,0.13333333333333333,0.5446658393927263,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.01, 'l1_reg': 0.01}]",,False,5,False,[1.80897719e-01 6.76700000e+03],0.95597991679979,0.9561334036301862,0.9998223884098971,0.9774889590256249,0.9561334036301862,0.4666666666666666,0.7114000351484264,"[[6768    1]
 [ 307    2]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",,False,5,False,[1.78874493e-01 6.76580000e+03],0.9558104013315034,0.9560743163580986,0.9997041191895109,0.9774015866707334,0.9560743163580986,0.2833333333333333,0.619703824845716,"[[6768    1]
 [ 307    2]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,5,False,[1.79071572e-01 6.76640000e+03],0.9558951710404608,0.9560265998237154,0.9998522804465241,0.9774474074350529,0.9560265998237154,0.2333333333333333,0.5946799665785244,"[[6768    1]
 [ 307    2]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.001, 'l1_reg': 0.1}]",,False,5,False,[2.29172793e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.001, 'l1_reg': 0.01}]",,False,5,False,[1.80030772e-01 6.76840000e+03],0.956177700812543,0.9562712640340933,0.9998818968549907,0.9775893126072559,0.9562712640340933,0.86,0.9081356320170466,"[[6766    3]
 [ 306    3]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.001, 'l1_reg': 0.001}]",,False,5,False,[1.73107192e-01 6.76620000e+03],0.9558669024959942,0.9563602452205343,0.9994380825339355,0.9774239565155686,0.9563602452205343,0.3662337662337662,0.6612970057271502,"[[6765    4]
 [ 305    4]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': <function swish at 0x00000212BC101C10>, 'l2_reg': 0.001, 'l1_reg': 0.0001}]",,False,5,False,[1.70696819e-01 6.76740000e+03],0.9560364299390949,0.9563162155579317,0.9996745686994751,0.9775139319973626,0.9563162155579317,0.6890909090909091,0.8227035623244203,"[[6764    5]
 [ 303    6]]"
