learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement_abserror_mean,validation_training_improvement_abserror_median,validation_training_improvement_abserror_std,validation_training_improvement_sign_success,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement_abserror_mean,validation_test_improvement_abserror_median,validation_test_improvement_abserror_std,validation_test_improvement_sign_success,validation_avg_train_test_improvement_abserror_mean,validation_avg_train_test_improvement_abserror_median,validation_avg_train_test_improvement_abserror_std,validation_avg_train_test_improvement_sign_success,validation_train_test_harmonic_mean_abserror_mean,validation_train_test_harmonic_mean_abserror_median,validation_train_test_harmonic_mean_abserror_std,validation_train_test_harmonic_mean_sign_success,validation_train_test_geometric_mean_abserror_mean,validation_train_test_geometric_mean_abserror_median,validation_train_test_geometric_mean_abserror_std,validation_train_test_geometric_mean_sign_success
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.85,True,PCA(n_components=0.85),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000211A4F3FD90>,StandardScaler(),IsolationForest(contamination=0.05),"[1.79779587e+02 1.57310557e+02 9.26692708e+00 1.84919698e+02
 1.25272284e+01 2.13252236e-01 8.60704104e+00 5.02794385e-02]","[2.22813909e+02 2.37450027e+02 1.84485515e-01 7.46536540e+01
 3.79100817e-01 8.20593737e-04 1.82499842e-01 3.78387374e-05]",9.266927414073185,6.620806675899272,0.6066261163179653,-0.6865318170806534,-0.591302474148289,12.629690794754087,9.396399471390408,7.109386687421268,8.463444590618908,0.5317880794701987,-0.02871065871632659,-0.07210066747837823,-0.01679004554956798,0.006265664160401034,-2.874827044944296,-2.2745562535125536,13.375444700800784,10.082135644970192,7.065427093660581,9.236874098186862,0.5095137420718816,-0.041043488448921576,-0.052717908791878175,-0.04219702941244824,-0.05859375000000005,-0.035,-0.062,-0.029,-0.026,-0.034,-0.061,-0.024,0.014,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.9,True,PCA(n_components=0.9),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000021191967A30>,StandardScaler(),IsolationForest(contamination=0.05),"[1.81691564e+02 1.57364360e+02 9.27822685e+00 1.89867091e+02
 1.25298367e+01 1.89413786e-01 8.61869558e+00 4.98342713e-02]","[1.99769842e+02 2.29449156e+02 1.75189051e-01 3.25946686e+02
 3.67556732e-01 2.04535359e-04 1.75077871e-01 7.60208817e-06]",9.278226997544921,6.676073853666377,0.5947068909295549,-0.2761828473333594,-0.3397396659983578,12.617979922730528,9.346386789225862,7.044086582083331,8.478025096382511,0.5165562913907285,-0.02323530835789325,-0.062253364244320444,-0.018541733406772516,-0.02255639097744364,-2.498155953088085,-1.8101803544365813,13.286915772579567,9.971320166115264,7.177136862051757,9.119115042283086,0.53276955602537,-0.029601097992805782,-0.0693621784465603,-0.02891026844280161,-0.01562499999999997,-0.026,-0.066,-0.024,-0.019,-0.026,-0.066,-0.023,-0.018,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.95,True,PCA(n_components=0.95),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002117600B850>,StandardScaler(),IsolationForest(contamination=0.05),"[1.80331431e+02 1.55285848e+02 9.20795822e+00 1.70505895e+02
 1.24490344e+01 1.90757573e-01 8.54861418e+00 6.16473953e-02]","[1.72773495e+02 1.90991470e+02 1.52851440e-01 3.61536310e+02
 3.07392519e-01 1.05987597e-03 1.51154620e-01 1.08303526e-04]",9.207958943611962,6.671728300641341,0.5953787854881295,-0.5131972868281587,-0.34423971986458235,12.631800011515516,9.36737867052745,6.840064782596501,8.48645890454242,0.5324503311258278,-0.025533483537354486,-0.03148672894552946,-0.01955496296020698,0.007518796992481283,-2.756231474366416,-2.55592805713761,13.279097351875505,10.055761921157975,7.317150548321105,9.089265743649053,0.5137420718816068,-0.03832023670864609,-0.090223608768863,-0.02554237038164462,-0.05078124999999996,-0.032,-0.061,-0.023,-0.022,-0.031,-0.047,-0.022,0.018,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000211630EB100>,StandardScaler(),IsolationForest(contamination=0.05),"[1.81782827e+02 1.54762604e+02 9.28085836e+00 2.06349136e+02
 1.24259319e+01 2.02659701e-01 8.61904844e+00 6.53965871e-02]","[2.14849520e+02 2.23297587e+02 1.75613677e-01 1.12831723e+03
 3.58817950e-01 4.49268942e-04 1.76239110e-01 1.83719222e-04]",9.28085848106071,6.76515464792341,0.6013298515783605,-0.6732613295726136,-0.5462583417019717,12.420455892921229,9.302173306482524,7.095195725837648,8.254304008951062,0.5490066225165563,-0.01839484993597052,-0.06996066018170416,0.008335901608640051,0.03884711779448625,-2.81320063525387,-2.2271477770099337,13.438732314470062,10.19891078301488,7.29138891217209,9.181080185667888,0.507399577167019,-0.05310125094637358,-0.08638523702228014,-0.03590179909227028,-0.06250000000000008,-0.036,-0.078,-0.014,-0.012,-0.027,-0.077,0.022,0.205,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002114FCA2E50>,StandardScaler(),IsolationForest(contamination=0.05),"[1.88891790e+02 1.56608597e+02 9.28936704e+00 2.56829371e+02
 1.25004358e+01 1.92056656e-01 8.62697093e+00 5.39598862e-02]","[2.30081139e+02 2.20225132e+02 1.59681629e-01 3.28643446e+03
 3.47697296e-01 1.80290659e-05 1.61272710e-01 3.64227059e-04]",9.289366967408618,6.889058695406071,0.5960283273901564,0.0456265996658146,0.22892093340356445,12.743833730408857,9.557231717954176,7.202209119253272,8.426516041758797,0.528476821192053,-0.04631845059545985,-0.08609835750417622,-0.012353485414328097,0.0,-1.9928600961672998,-1.3034940975315643,13.82423039709346,10.335403407235543,7.590944894388428,9.383089750597595,0.5116279069767442,-0.06719496706663979,-0.13101777557721395,-0.05869454978310929,-0.0546875,-0.057,-0.109,-0.036,-0.027,-0.055,-0.104,-0.02,0.0,,,,-0.0
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.85,True,PCA(n_components=0.85),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002113D496B50>,StandardScaler(),IsolationForest(contamination=0.05),"[1.81210154e+02 1.57811874e+02 9.30054760e+00 1.79129069e+02
 1.25473731e+01 2.14574983e-01 8.63830503e+00 4.71784870e-02]","[2.25455327e+02 2.36356504e+02 1.93595764e-01 2.50728175e+02
 3.75301181e-01 9.85049660e-04 1.91906644e-01 5.73165241e-05]",9.300547936804895,6.6748832962367795,0.6072874919793408,-0.36889459830886717,-0.3120167602455277,12.618867612825854,9.350597104953389,7.143179776457911,8.478230095635926,0.5258278145695364,-0.023696250517563532,-0.07719668980846796,-0.018566361818760684,-0.005012531328320786,-2.6396762930758317,-2.0394622104534665,13.277455069939199,9.98315865696475,7.205626042454787,9.132297541455644,0.5348837209302325,-0.030823496128072725,-0.0736069424246617,-0.03039765057357774,-0.011718750000000132,-0.027,-0.075,-0.024,-0.008,-0.027,-0.075,-0.023,-0.007,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.9,True,PCA(n_components=0.9),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002112A7A80A0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.82776098e+02 1.57689880e+02 9.29656283e+00 1.78747106e+02
 1.25445340e+01 1.88080510e-01 8.63607407e+00 4.72970208e-02]","[1.80373749e+02 2.04356588e+02 1.69688260e-01 3.78449470e+01
 3.24541552e-01 5.17687073e-04 1.69954575e-01 6.65246505e-05]",9.29656288976011,6.745110914240293,0.5940402558195799,-0.5086047404565266,-0.3363611902164191,12.694952424393747,9.415543871427255,7.047183508725609,8.526983741011502,0.523841059602649,-0.03080657305379138,-0.06272038302755699,-0.024423577609726823,-0.008771929824561323,-2.589572093968529,-2.036716307453018,13.365210154948272,10.045595247807862,7.11052371754702,9.177208115776498,0.53276955602537,-0.037270464174034054,-0.05943710962177581,-0.03546491322638237,-0.01562499999999997,-0.034,-0.061,-0.03,-0.012,-0.034,-0.061,-0.029,-0.011,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.95,True,PCA(n_components=0.95),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000211175D7910>,StandardScaler(),IsolationForest(contamination=0.05),"[1.79946665e+02 1.55366887e+02 9.23108451e+00 1.70408925e+02
 1.24526688e+01 1.97355549e-01 8.57363892e+00 6.10379179e-02]","[1.69829549e+02 1.85106399e+02 1.37665996e-01 1.16499751e+00
 2.97918935e-01 1.18521081e-04 1.36820509e-01 1.15459021e-04]",9.231084727836206,6.643603015306532,0.5986777746221086,-0.47797397951070286,-0.3932227657361916,12.669124890082927,9.442630860791843,6.987095066567691,8.456534205632495,0.5245033112582781,-0.03377203602253036,-0.053659002380022344,-0.015959838582432256,-0.007518796992481283,-2.567323431385613,-2.2661793502468623,13.276284108881653,9.971219439135986,7.023843388693988,9.122991279798468,0.53276955602537,-0.02959069730295381,-0.04652211760304435,-0.02934762454194134,-0.01562499999999997,-0.032,-0.05,-0.023,-0.012,-0.032,-0.05,-0.021,-0.01,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020DF6834250>,StandardScaler(),IsolationForest(contamination=0.05),"[1.82237213e+02 1.54391780e+02 9.25570647e+00 2.00260691e+02
 1.24117104e+01 2.07961227e-01 8.59444459e+00 6.74352249e-02]","[2.06455445e+02 2.11835413e+02 1.85672168e-01 1.21131028e+03
 3.41231945e-01 5.48950995e-04 1.86557577e-01 1.79870808e-04]",9.255706567845833,6.7155192846934995,0.6039806136724626,-0.5323524618943107,-0.5234991488006528,12.400060332767676,9.270082674361129,7.0042669627722445,8.249466799869287,0.5602649006622517,-0.014881591968518536,-0.05624853677900844,0.008917039228190583,0.06015037593984964,-2.6735427489685115,-1.8383717079285224,13.364186821735203,10.041663693566086,7.240531163591894,9.204119768685432,0.5306553911205074,-0.036864506638149656,-0.0788076536686503,-0.038501356553435576,-0.019531250000000014,-0.026,-0.068,-0.015,0.02,-0.021,-0.066,0.023,-0.058,,,,
0.01,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.MeanSquaredError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'elu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020DDFAF2940>,StandardScaler(),IsolationForest(contamination=0.05),"[1.90516108e+02 1.56767298e+02 9.29756419e+00 2.74204875e+02
 1.25088447e+01 2.09276090e-01 8.63452562e+00 5.21439314e-02]","[1.19954107e+02 1.89003197e+02 1.12396588e-01 1.71354430e+03
 2.96103376e-01 1.92408459e-04 1.15235937e-01 7.83617921e-04]",9.297563898995023,6.96211037267906,0.6046380447473887,-0.7021892928588571,-0.7514770397500028,12.667402201565277,9.610100552386893,7.487503301254094,8.278963722755062,0.5450331125827814,-0.05210649032923639,-0.12912092701666994,0.005373307448125145,0.03132832080200496,-2.41110887368725,-1.8712069517114651,14.317916805563055,10.83650342643683,8.267088331501967,9.651419885206373,0.5221987315010571,-0.11893667442121006,-0.2317602070998838,-0.08897025411971002,-0.035156249999999986,-0.086,-0.18,-0.042,-0.002,-0.072,-0.166,0.011,0.575,,,,
