event_id,prediction_probability,prediction_probability
ca609606-af1a-11ea-9a02-4865ee11b869,0.5891137,0.5891137
ca8f625a-af1a-11ea-8154-4865ee11b869,0.5708662,0.5708662
cb1a1a42-af1a-11ea-b7a4-4865ee11b869,0.4536627,0.4536627
cb0ba54a-af1a-11ea-8d47-4865ee11b869,0.48696193,0.48696193
cb047e2e-af1a-11ea-bb60-4865ee11b869,0.7050121,0.7050121
cb399aa6-af1a-11ea-83f5-4865ee11b869,0.6287888,0.6287888
cb814f0c-af1a-11ea-a00d-4865ee11b869,0.46006843,0.46006843
cb6fce9e-af1a-11ea-9de4-4865ee11b869,0.45971447,0.45971447
cb68a79c-af1a-11ea-85f3-4865ee11b869,0.5476999,0.5476999
cb895fda-af1a-11ea-961b-4865ee11b869,0.6182424,0.6182424
cba9a328-af1a-11ea-9bc8-4865ee11b869,0.5050039,0.5050039
cbc1609e-af1a-11ea-9ad9-4865ee11b869,0.55370426,0.55370426
cbb92938-af1a-11ea-adcd-4865ee11b869,0.61556715,0.61556715
cbb0ca3a-af1a-11ea-8e22-4865ee11b869,0.6859388,0.6859388
cbe918ca-af1a-11ea-a6a2-4865ee11b869,0.5414861,0.5414861
cbf19e76-af1a-11ea-b51f-4865ee11b869,0.5095498,0.5095498
cc7f25f6-af1a-11ea-9f3d-4865ee11b869,0.6643846,0.6643846
cc5d4948-af1a-11ea-844f-4865ee11b869,0.68497306,0.68497306
cc7825e8-af1a-11ea-8b20-4865ee11b869,0.8218316,0.8218316
cce8f852-af1a-11ea-b9f0-4865ee11b869,0.5546183,0.5546183
cd054694-af1a-11ea-822d-4865ee11b869,0.6448512,0.6448512
ccfe1f88-af1a-11ea-a2ea-4865ee11b869,0.5195365,0.5195365
ccf6f880-af1a-11ea-9adb-4865ee11b869,0.7300968,0.7300968
cd1b099e-af1a-11ea-b894-4865ee11b869,0.63309824,0.63309824
cd3057c8-af1a-11ea-a86d-4865ee11b869,0.6201891,0.6201891
cdb7bc5a-af1a-11ea-88d4-4865ee11b869,0.56266004,0.56266004
cda7c1b4-af1a-11ea-9ff8-4865ee11b869,0.8881762,0.8881762
cdc7421e-af1a-11ea-a138-4865ee11b869,0.7741687,0.7741687
cdafab8a-af1a-11ea-bbd1-4865ee11b869,0.71014166,0.71014166
ce8ebc9e-af1a-11ea-8e13-4865ee11b869,0.62430936,0.62430936
cea431dc-af1a-11ea-8f3f-4865ee11b869,0.6690892,0.6690892
ce9d31a4-af1a-11ea-959e-4865ee11b869,0.52455056,0.52455056
ceab31cc-af1a-11ea-8175-4865ee11b869,0.38977182,0.38977182
ceb258d8-af1a-11ea-a8c1-4865ee11b869,0.88506985,0.88506985
cf49040a-af1a-11ea-8ca0-4865ee11b869,0.89783275,0.89783275
cf50ede4-af1a-11ea-8f8f-4865ee11b869,0.62289155,0.62289155
cf40f318-af1a-11ea-9dfd-4865ee11b869,0.8014613,0.8014613
cf38e250-af1a-11ea-8ae5-4865ee11b869,0.5609884,0.5609884
cf28729a-af1a-11ea-a8a1-4865ee11b869,0.69564503,0.69564503
cfa88658-af1a-11ea-ad0d-4865ee11b869,0.534677,0.534677
cf8fdf1a-af1a-11ea-b52d-4865ee11b869,0.56122303,0.56122303
cf983dc2-af1a-11ea-8adf-4865ee11b869,0.44096023,0.44096023
cfb6d46e-af1a-11ea-97ed-4865ee11b869,0.7333608,0.7333608
cfa15f5c-af1a-11ea-a7e5-4865ee11b869,0.6227375,0.6227375
cfaf867a-af1a-11ea-a4ac-4865ee11b869,0.6591008,0.6591008
